string_id,vi,en
add_cmd_desc,T-thêm từ khóa react...,A-add a word react trigger...
add_cmd_usage,T-thêm vô để bot réo theo chữ...,A-add a trigger word and its response...
add_param_word_desc,C-chữ bắt nè...,T-trigger word...
add_param_response_desc,R-réo câu chi nè...,R-response message...
remove_cmd_desc,X-xóa từ khóa đi bớt...,R-remove a trigger...
remove_cmd_usage,X-xóa một từ đi...,R-remove a trigger word...
remove_param_word_desc,M-muốn bỏ chữ nào...,W-word to remove...
list_cmd_desc,X-xem list react...,L-list all triggers...
list_cmd_usage,X-xem list các từ và lời réo...,S-show all triggers and responses...
added,G-ghi sổ gòi nha: **{0}** → {1},A-added trigger: **{0}** → {1}
removed,Đ-đã vứt c-chữ **{0}**,R-removed trigger: **{0}**
not_found,E-eh?! T-tìm không ra **{0}**... (>_<),E-eh?! T-trigger not found: **{0}**... (>_<)
list_title,B-bảng Phong Thần Word React,W-word React List
list_empty,T-trắng bóc không có ai trỏng! ( • ᎑ • ),N-nothing here yet! ( • ᎑ • )
list_entry,**{0}** → {1},**{0}** → {1}
no_permission,B-bạn c-chưa đủ quyền nha... đ-đừng quánh tui...,Y-you don't have perms... p-please don't hit me...
